,Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
87,2024-02-01,Lufthansa,20h 25m,New York,Dubai,5:30 pm,10:55 pm,"1h 40m,3h 25m","Munich Franz Josef Strauss,Frankfurt am Main",2,1.0,2.0,"1,059"
88,2024-02-01,SWISS,18h 00m,New York,Dubai,7:15 pm,10:15 pm,"0h 50m,1h 25m","Barcelona-El Prat,Zurich",2,1.0,2.0,"1,238"
89,2024-02-01,"Lufthansa, Wizz Air",20h 25m,New York,Dubai,3:55 pm,9:20 pm,"2h 50m,2h 50m","Frankfurt am Main,Budapest Ferenc Liszt Intl",2,0.0,0.0,828
90,2024-02-01,"Norse Atlantic UK, Lufthansa",19h 45m,New York,Dubai,6:10 pm,10:55 pm,"4h 00m,1h 05m","Airport change LGW-LCY,Frankfurt am Main",2,1.0,0.0,906
91,2024-02-01,"SWISS, Royal Jordanian",20h 10m,New York,Dubai,10:05 pm,3:15 am,"0h 50m,1h 50m,1h 55m","Zurich,Milan Malpensa,Amman Queen Alia Intl",3,1.0,0.0,878
92,2024-02-01,Air Canada,20h 15m,New York,Dubai,2:35 pm,7:50 pm,"1h 43m,2h 15m","Ottawa,Toronto Pearson Intl",2,1.0,1.0,"1,204"
93,2024-02-01,Air Canada,20h 32m,New York,Dubai,2:18 pm,7:50 pm,"2h 12m,1h 49m","Montreal Pierre Elliott Trudeau Intl,Toronto Pearson Intl",2,1.0,1.0,"1,204"
94,2024-02-01,Air Canada,20h 32m,New York,Dubai,2:18 pm,7:50 pm,"1h 02m,2h 59m","Montreal Pierre Elliott Trudeau Intl,Toronto Pearson Intl",2,1.0,1.0,"1,204"
95,2024-02-01,Air Canada,16h 50m,New York,Dubai,6:00 pm,7:50 pm,1h 38m,Toronto Pearson Intl,1,1.0,1.0,"1,464"
96,2024-02-01,"TAP AIR PORTUGAL, Wizz Air Malta",19h 10m,New York,Dubai,5:40 pm,9:50 pm,"1h 30m,1h 35m","Lisbon Humberto Delgado,Vienna Intl",2,0.0,0.0,987
97,2024-02-01,"Austrian Airlines, flydubai",18h 35m,New York,Dubai,6:10 pm,9:45 pm,"1h 30m,2h 25m","Vienna Intl,Bucharest Otopeni Intl",2,1.0,0.0,"1,021"
98,2024-02-01,"Lufthansa, flydubai",19h 15m,New York,Dubai,5:30 pm,9:45 pm,"1h 40m,2h 45m","Munich Franz Josef Strauss,Bucharest Otopeni Intl",2,1.0,0.0,"1,036"
99,2024-02-01,Emirates,18h 53m,New York,Dubai,3:17 pm,7:10 pm,2h 47m,Chicago O'Hare Intl,1,1.0,2.0,"1,413"
100,2024-02-01,Emirates,20h 10m,New York,Dubai,11:45 pm,4:55 am,"2h 20m,2h 50m","Athens Eleftherios V.,Istanbul",2,1.0,2.0,"1,224"
101,2024-02-01,Air Canada,18h 50m,New York,Dubai,4:00 pm,7:50 pm,3h 40m,Toronto Pearson Intl,1,1.0,1.0,"1,464"
102,2024-02-01,Air Canada,19h 50m,New York,Dubai,3:00 pm,7:50 pm,4h 43m,Toronto Pearson Intl,1,1.0,1.0,"1,464"
103,2024-02-01,Air Canada,19h 20m,New York,Dubai,3:30 pm,7:50 pm,"1h 08m,1h 49m","Montreal Pierre Elliott Trudeau Intl,Toronto Pearson Intl",2,1.0,1.0,"1,464"
104,2024-02-01,TAP AIR PORTUGAL,16h 05m,New York,Dubai,11:55 pm,1:00 am,1h 55m,Lisbon Humberto Delgado,1,1.0,2.0,"1,694"
105,2024-02-01,Royal Air Maroc,20h 30m,New York,Dubai,8:00 pm,1:30 am,6h 10m,Casablanca Mohamed V,1,1.0,2.0,"1,605"
106,2024-02-01,TAP AIR PORTUGAL,18h 00m,New York,Dubai,10:00 pm,1:00 am,3h 55m,Lisbon Humberto Delgado,1,1.0,2.0,"1,690"
107,2024-02-01,Qatar Airways,18h 55m,New York,Dubai,5:00 pm,8:55 pm,"2h 25m,1h 05m","Madrid Barajas,Doha Hamad Intl",2,1.0,2.0,"1,803"
108,2024-02-01,Qatar Airways,19h 15m,New York,Dubai,5:00 pm,9:15 pm,"2h 25m,1h 25m","Madrid Barajas,Doha Hamad Intl",2,1.0,2.0,"1,873"
109,2024-02-01,Qatar Airways,20h 25m,New York,Dubai,10:25 pm,3:50 am,"3h 50m,1h 40m","London Heathrow,Doha Hamad Intl",2,1.0,2.0,"1,977"
110,2024-02-01,Qatar Airways,18h 32m,New York,Dubai,5:43 pm,9:15 pm,"2h 12m,1h 45m","Boston Logan Intl,Doha Hamad Intl",2,1.0,2.0,"2,178"
111,2024-02-01,Qatar Airways,19h 00m,New York,Dubai,5:15 pm,9:15 pm,"2h 28m,1h 45m","Boston Logan Intl,Doha Hamad Intl",2,1.0,0.0,950
112,2024-02-01,"Egypt Air, Emirates",20h 45m,New York,Dubai,12:00 pm,5:45 pm,7h 10m,Cairo,1,1.0,2.0,"3,260"
113,2024-02-01,British Airways,15h 25m,New York,Dubai,8:05 am,8:30 am,1h 45m,London Heathrow,1,1.0,1.0,"4,067"
114,2024-02-01,British Airways,15h 35m,New York,Dubai,7:55 am,8:30 am,2h 00m,London Heathrow,1,1.0,1.0,"4,067"
115,2024-02-01,British Airways,15h 20m,New York,Dubai,11:25 pm,11:45 pm,1h 30m,London Heathrow,1,1.0,1.0,"4,067"
116,2024-02-01,British Airways,16h 20m,New York,Dubai,10:25 pm,11:45 pm,2h 20m,London Heathrow,1,1.0,0.0,"4,067"
117,2024-02-01,British Airways,17h 50m,New York,Dubai,8:55 pm,11:45 pm,4h 05m,London Heathrow,1,1.0,1.0,"4,067"
118,2024-02-01,British Airways,17h 00m,New York,Dubai,9:45 pm,11:45 pm,3h 20m,London Heathrow,1,1.0,1.0,"4,067"
119,2024-02-01,British Airways,17h 10m,New York,Dubai,9:35 pm,11:45 pm,3h 25m,London Heathrow,1,1.0,1.0,"4,067"
120,2024-02-01,British Airways,19h 20m,New York,Dubai,7:25 pm,11:45 pm,5h 35m,London Heathrow,1,1.0,1.0,"4,067"
121,2024-02-01,British Airways,19h 50m,New York,Dubai,6:55 pm,11:45 pm,5h 45m,London Heathrow,1,1.0,0.0,"4,067"
122,2024-02-01,British Airways,19h 55m,New York,Dubai,6:50 pm,11:45 pm,6h 00m,London Heathrow,1,1.0,1.0,"4,067"
123,2024-02-01,British Airways,20h 15m,New York,Dubai,6:30 pm,11:45 pm,6h 20m,London Heathrow,1,1.0,1.0,"4,067"
124,2024-02-01,"British Airways, Qantas Airways",15h 35m,New York,Dubai,7:25 pm,8:00 pm,2h 00m,London Heathrow,1,1.0,1.0,"5,973"
125,2024-02-01,"British Airways, Qantas Airways",16h 10m,New York,Dubai,6:50 pm,8:00 pm,2h 25m,London Heathrow,1,1.0,1.0,"5,973"
126,2024-02-01,"British Airways, Qantas Airways",17h 00m,New York,Dubai,6:30 pm,8:30 pm,3h 15m,Airport change LHR-LGW,1,1.0,1.0,"5,936"
127,2024-02-01,"British Airways, Qantas Airways",16h 15m,New York,Dubai,11:25 pm,12:40 am,2h 25m,London Heathrow,1,1.0,1.0,"5,973"
128,2024-02-01,"British Airways, Qantas Airways",20h 20m,New York,Dubai,7:05 pm,12:25 am,6h 20m,Manchester,1,1.0,1.0,"5,936"
129,2024-02-01,"LOT, Emirates",14h 45m,New York,Dubai,10:35 pm,10:20 pm,0h 55m,Warsaw Frederic Chopin,1,1.0,1.0,"6,136"
130,2024-02-01,"TAP AIR PORTUGAL, Emirates",18h 00m,New York,Dubai,10:00 pm,1:00 am,3h 55m,Lisbon Humberto Delgado,1,1.0,1.0,"7,323"
131,2024-02-01,"Royal Air Maroc, Emirates",20h 30m,New York,Dubai,8:00 pm,1:30 am,6h 10m,Casablanca Mohamed V,1,1.0,2.0,"7,317"
132,2024-02-01,"Porter Airlines, Emirates",18h 50m,New York,Dubai,7:50 am,11:40 am,4h 25m,Airport change YTZ-YYZ,1,1.0,2.0,"7,549"
133,2024-02-01,"Aer Lingus, Emirates",20h 20m,New York,Dubai,7:05 pm,12:25 am,6h 20m,Manchester,1,1.0,1.0,"7,530"
134,2024-02-01,"Porter Airlines, Emirates",19h 50m,New York,Dubai,6:50 am,11:40 am,5h 25m,Airport change YTZ-YYZ,1,1.0,2.0,"7,639"
135,2024-02-01,"Lufthansa, Emirates",18h 05m,New York,Dubai,3:55 pm,7:00 pm,4h 15m,Frankfurt am Main,1,1.0,2.0,"7,930"
136,2024-02-02,Emirates,18h 00m,New York,Dubai,10:00 pm,1:00 am,3h 55m,Lisbon Humberto Delgado,1,1.0,2.0,"1,060"
137,2024-02-02,Kuwait Airways,15h 55m,New York,Dubai,5:00 pm,5:55 pm,2h 00m,Kuwait City,1,1.0,2.0,550
138,2024-02-02,Multiple Airlines,34h 55m,New York,Dubai,11:00 pm,6:55 pm,"4h 05m,12h 25m,1h 40m","Airport change ORY-BVA,Tirana Rinas,Budapest Ferenc Liszt Intl",3,0.0,0.0,486
139,2024-02-02,United Airlines,13h 10m,New York,Dubai,9:30 pm,7:40 pm,,,0,1.0,1.0,"1,001"
140,2024-02-02,SAUDIA,16h 00m,New York,Dubai,11:00 am,12:00 pm,2h 05m,Riyadh King Khaled Intl,1,1.0,2.0,681
141,2024-02-02,Kuwait Airways,19h 55m,New York,Dubai,5:00 pm,9:55 pm,6h 00m,Kuwait City,1,1.0,2.0,550
142,2024-02-02,Qatar Airways,14h 50m,New York,Dubai,10:25 am,10:15 am,1h 10m,Doha Hamad Intl,1,1.0,2.0,744
143,2024-02-02,Emirates,12h 25m,New York,Dubai,11:00 pm,8:25 pm,,,0,1.0,2.0,"1,126"
144,2024-02-02,SAUDIA,17h 00m,New York,Dubai,11:00 am,1:00 pm,3h 05m,Riyadh King Khaled Intl,1,1.0,2.0,681
145,2024-02-02,Emirates,12h 30m,New York,Dubai,10:40 am,8:10 am,,,0,1.0,2.0,"1,126"
146,2024-02-02,SAUDIA,18h 30m,New York,Dubai,11:00 am,2:30 pm,4h 35m,Riyadh King Khaled Intl,1,1.0,2.0,682
147,2024-02-02,Egypt Air,18h 00m,New York,Dubai,12:00 pm,3:00 pm,4h 30m,Cairo,1,1.0,2.0,774
148,2024-02-02,SAUDIA,20h 45m,New York,Dubai,11:00 am,4:45 pm,6h 50m,Riyadh King Khaled Intl,1,1.0,2.0,682
149,2024-02-02,Etihad Airways,16h 00m,New York,Dubai,10:00 pm,11:00 pm,1h 30m,Abu Dhabi Intl,1,1.0,2.0,894
