Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
2024-01-19,British Airways,13h 45m,Los Angeles,London,10:30 am,8:15 am,1h 41m,Dallas/Fort Worth,1,1.0,1,990
2024-01-19,American Airlines,13h 36m,Los Angeles,London,11:39 am,9:15 am,1h 20m,Charlotte Douglas,1,1.0,1,"1,006"
2024-01-19,Virgin Atlantic,13h 14m,Los Angeles,London,1:21 pm,10:35 am,1h 41m,Salt Lake City,1,1.0,0,998
2024-01-19,Virgin Atlantic,13h 10m,Los Angeles,London,9:40 am,6:50 am,1h 36m,Detroit Metropolitan Wayne County,1,1.0,0,998
2024-01-19,Virgin Atlantic,13h 20m,Los Angeles,London,1:10 pm,10:30 am,0h 51m,New York John F Kennedy Intl,1,1.0,0,998
2024-01-19,British Airways,14h 05m,Los Angeles,London,12:20 pm,10:25 am,1h 42m,New York John F Kennedy Intl,1,1.0,1,990
2024-01-19,Finnair,14h 05m,Los Angeles,London,12:20 pm,10:25 am,1h 42m,New York John F Kennedy Intl,1,1.0,1,991
2024-01-19,British Airways,14h 10m,Los Angeles,London,1:55 pm,12:05 pm,1h 55m,Seattle/Tacoma Intl,1,1.0,1,990
2024-01-19,British Airways,13h 25m,Los Angeles,London,9:00 am,6:25 am,1h 09m,New York John F Kennedy Intl,1,1.0,1,990
2024-01-19,Virgin Atlantic,13h 20m,Los Angeles,London,9:30 am,6:50 am,1h 06m,New York John F Kennedy Intl,1,1.0,0,998
2024-01-19,Austrian Airlines,17h 45m,Los Angeles,London,8:40 am,10:25 am,5h 49m,"Washington, D.C. Dulles Intl",1,1.0,1,758
2024-01-19,Lufthansa,17h 45m,Los Angeles,London,8:40 am,10:25 am,5h 49m,"Washington, D.C. Dulles Intl",1,1.0,1,759
2024-01-19,Virgin Atlantic,13h 35m,Los Angeles,London,2:05 pm,11:40 am,1h 05m,Seattle/Tacoma Intl,1,1.0,0,998
2024-01-19,Virgin Atlantic,13h 25m,Los Angeles,London,9:50 am,7:15 am,1h 14m,Atlanta Hartsfield-Jackson,1,1.0,0,998
2024-01-19,British Airways,14h 15m,Los Angeles,London,11:30 am,9:45 am,2h 19m,Dallas/Fort Worth,1,1.0,1,990
